Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps,pe
25/03/2022,2383.646729,2395.96875,6584133,17222.75,1499.538552,0.821889932,68.44042969,2325.608447,2268.285522,2205.046204,2325.733691,2280.911516,2241.365945,2371.966095,2340.780051,2282.318476,1.668530692,2031.597902,2378.494506,65.88692398,68.44042969,59.88480499,1055785293,2170.536043,63.36376953,2.954183349,2380.093018,2343.680664,2336.250732,2277.409424,2290.608398,0.0607,27.6,7.85
28/03/2022,2409.029053,2420.059082,7111244,17153,1500.06979,0.868944084,35.99707031,2346.680518,2287.077808,2215.282275,2349.145377,2301.831013,2256.090021,2395.574771,2367.930312,2306.464095,1.987751556,2023.143246,2407.421305,67.00138671,35.99707031,58.17853822,1062896537,2204.877425,12.32202148,1.510168008,2395.96875,2380.093018,2343.680664,2336.250732,2277.409424,0.0607,27.6,7.85
29/03/2022,2434.873047,2420.612793,4945712,17222,1500.448807,0.633262238,39.91967773,2375.210449,2307.642261,2232.18241,2372.783279,2323.327026,2271.706122,2419.494809,2394.995917,2331.411519,2.294586965,2030.65864,2433.706179,68.67380903,39.91967773,56.8743339,1067842249,2242.621573,11.0300293,1.657085774,2420.059082,2395.96875,2380.093018,2343.680664,2336.250732,0.0607,27.6,7.85
30/03/2022,2436.626953,2467.13208,4342032,17325.30078,1500.781504,0.566641846,28.24365234,2392.082861,2326.443774,2247.808789,2388.72645,2341.015347,2285.88771,2430.496251,2414.125793,2352.737839,2.506336101,2038.867952,2456.749626,68.71305892,28.24365234,54.82928522,1072184281,2279.548919,-14.26025391,1.159964064,2420.612793,2420.059082,2395.96875,2380.093018,2343.680664,0.0607,27.6,7.85
31/03/2022,2459.748047,2431.873291,7905775,17498.25,1501.41725,1.050517895,65.44067383,2416.773145,2355.01062,2262.272205,2414.86166,2363.945662,2303.149079,2460.131668,2442.524467,2379.249957,2.798725494,2035.420729,2489.12368,71.89866692,65.44067383,55.58724155,1080090056,2313.720227,30.50512695,2.685707541,2467.13208,2420.612793,2420.059082,2395.96875,2380.093018,0.0607,27.6,7.85
01/04/2022,2433.0271,2451.348633,6611859,17464.75,1501.928915,0.90333397,37.93530273,2427.129199,2376.368823,2273.172827,2420.532204,2376.29614,2315.408527,2454.492571,2450.692826,2395.353585,2.871573195,2035.958849,2510.386805,66.38174404,40.93505859,54.54065705,1073478197,2353.872939,-27.87475586,1.542243434,2431.873291,2467.13208,2420.612793,2420.059082,2395.96875,0.0607,27.6,7.85
04/04/2022,2450.979492,2458.594238,3961440,17670.44922,1502.241619,0.545442585,39.82739258,2438.205176,2392.442847,2285.98175,2430.804347,2389.942048,2328.355204,2460.292687,2461.976897,2412.400107,2.959148597,2039.51342,2532.450081,67.84921668,39.82739258,53.48970959,1077439637,2384.389,18.3215332,1.63694817,2451.348633,2431.873291,2467.13208,2420.612793,2420.059082,0.0607,27.6,7.85
05/04/2022,2446.964355,2423.843262,3964581,18053.40039,1502.556753,0.551334097,30.78198242,2445.912207,2410.561328,2301.587366,2440.067644,2402.424264,2340.758922,2465.902069,2471.574591,2428.021959,3.015670387,2052.911932,2550.262799,68.40184212,30.78198242,51.86772908,1081404218,2407.581206,7.614746094,1.255905344,2458.594238,2451.348633,2431.873291,2467.13208,2420.612793,0.0607,27.6,7.85
06/04/2022,2387.892578,2417.382324,6574935,17957.40039,1503.059939,0.92997,45.41162109,2446.558301,2419.320581,2319.424329,2434.659517,2406.318628,2348.671716,2448.277048,2466.082465,2434.783183,2.907387621,2090.165406,2548.683251,62.82428666,45.41162109,51.40657851,1074829283,2418.905273,-23.12109375,1.855835006,2423.843262,2458.594238,2451.348633,2431.873291,2467.13208,0.0607,27.6,7.85
07/04/2022,2395.276367,2374.739746,6128607,17807.65039,1503.525185,0.895439237,43.75,2436.60835,2426.690747,2337.125159,2428.900452,2408.330209,2355.215583,2434.139431,2458.873733,2439.0466,2.767149801,2136.844536,2537.405782,61.81507169,43.75,50.85968004,1068700676,2481.023193,29.48974609,1.83215947,2417.382324,2423.843262,2458.594238,2451.348633,2431.873291,0.0607,27.6,7.85
